Pregunta,Respuesta
41,B
42,A
43,C
44,D
45,C
46,B
47,D
48,
49,
50,
51,C
52,
53,
54,
55,
56,
57,C
58,A
59,
60,A
61,B
62,
63,
64,
65,C
66,
67,D
68,C
69,
70,B
71,
72,
73,
74,
75,
76,B
77,D
78,A
